方剂	方剂
方名	鳖甲汤
处方	鳖甲汤_1
中药名	鳖甲
剂量	30克
中药名	京三棱
中药名	大腹
中药名	芍药
中药名	当归
剂量	45克
中药名	柴胡
中药名	生干地黄
中药名	桂
剂量	7.5克
中药名	生姜
功能主治	主伏梁积气
功能主治	环脐而痛
功能主治	少腹胀满
处方	鳖甲汤_2
剂量	1两半
剂量	1两
中药名	人参
剂量	1两1分
中药名	白术
中药名	知母
中药名	半夏
中药名	桔梗
中药名	紫菀
中药名	桑根白皮
中药名	芎?
剂量	3分
中药名	秦艽
中药名	地骨皮
中药名	甘草
中药名	虎头骨
中药名	赤茯苓
中药名	槟榔
中药名	附子
功能主治	五劳咳嗽
功能主治	咯唾脓血
功能主治	言语声嘎
功能主治	日渐羸劣
功能主治	不欲饮食
处方	鳖甲汤_3
剂量	半两
中药名	大黄
剂量	1分
中药名	木香
功能主治	伤寒后骨蒸热
功能主治	日渐黄瘦
功能主治	大便涩
功能主治	小便赤
处方	鳖甲汤_4
剂量	2两
中药名	枳壳
中药名	桃仁
剂量	7个
中药名	白槟榔
剂量	2个
功能主治	水气
功能主治	面目浮肿
功能主治	因虚劳脚气所致
处方	鳖甲汤_5
剂量	3两
中药名	诃黎勒皮
中药名	牡蛎
中药名	麻黄
中药名	犀角
中药名	升麻
中药名	栀子仁
中药名	黄连
中药名	葳蕤
功能主治	男子
功能主治	女人骨蒸热劳
功能主治	皮肉消瘦
功能主治	面色萎黄
功能主治	不思饮食
功能主治	夜多咳嗽
功能主治	涕唾稠粘
功能主治	骨节疼痛
功能主治	憎寒壮热
功能主治	心腹气胀
功能主治	坐卧不安
功能主治	发如疟状
功能主治	女人血风劳
功能主治	一切劳疾
处方	鳖甲汤_6
中药名	贝母
中药名	麦门冬
中药名	陈橘皮
中药名	胡黄连
中药名	黄芩
中药名	百部
中药名	山栀子仁
中药名	栝楼根
中药名	款冬花
功能主治	虚劳
功能主治	烦躁
功能主治	羸瘦发热
功能主治	面红颊赤
功能主治	咳吐脓血
处方	鳖甲汤_7
中药名	楝实
中药名	黄耆
中药名	赤芍药
中药名	白茯苓
中药名	熟干地黄
中药名	草豆蔻
中药名	常山
中药名	乌梅
功能主治	潮热
功能主治	肌瘦咳嗽
功能主治	骨节酸疼
处方	鳖甲汤_8
中药名	天灵盖
中药名	杏仁
功能主治	热劳及女子虚劳
功能主治	身体干瘦
功能主治	不下饮食
功能主治	咳唾稠粘
功能主治	背膊疼痛
功能主治	手足并心背烦热
功能主治	兼渴
处方	鳖甲汤_9
中药名	前胡
中药名	羚羊角屑
剂量	5两
中药名	薤白
剂量	1升
中药名	香豉
功能主治	劳热
功能主治	四肢肿急
功能主治	少腹满痛
功能主治	颜色黑黄
功能主治	关格不通
处方	鳖甲汤_10
中药名	冬瓜汁
剂量	4合
中药名	车前叶
剂量	1握
功能主治	温疟
功能主治	发热身黄
功能主治	咽干苦渴
功能主治	小便不利
处方	鳖甲汤_11
中药名	灯心
剂量	1把
功能主治	温病斑痘烦喘
处方	鳖甲汤_12
中药名	皂荚
功能主治	咳嗽
功能主治	胸满气急
功能主治	发热羸瘦
处方	鳖甲汤_13
中药名	阿魏
中药名	安息香
功能主治	五劳干瘦
功能主治	及传尸梦寐不祥
功能主治	日渐消瘦
功能主治	肌体困倦
处方	鳖甲汤_14
剂量	1钱
中药名	牛膝
剂量	7分
剂量	5分
中药名	茯苓
中药名	白芍
中药名	桑寄生
中药名	麦冬
中药名	熟地
中药名	桂心
中药名	炙草
中药名	续断
剂量	3钱
功能主治	产后虚证杂见
功能主治	成蓐劳
处方	鳖甲汤_15
中药名	虎杖
中药名	鬼箭羽
中药名	虻虫
功能主治	经络壅滞
功能主治	月水不通
功能主治	日渐羸瘦
功能主治	四肢无力
处方	鳖甲汤_16
中药名	荆三棱
功能主治	伏梁积气
功能主治	心下如臂
功能主治	痞痛不消
处方	鳖甲汤_17
中药名	鳖
中药名	斧头
剂量	3个
功能主治	下死胎
功能主治	主
处方	鳖甲汤_18
中药名	羌活
中药名	消石
中药名	吴茱萸
功能主治	妇人血风
功能主治	身体骨节疼痛
功能主治	胸胁胀满
功能主治	心烦热躁
功能主治	筋脉拘急
功能主治	经水不利
处方	鳖甲汤_19
中药名	椒
剂量	50粒
功能主治	3-7岁儿不能食
功能主治	或呕
功能主治	或头热
功能主治	或下痢
功能主治	或渴
功能主治	或手脚热
功能主治	有时冷
处方	鳖甲汤_20
中药名	细辛
剂量	4两
中药名	白鲜皮
中药名	枳实
中药名	茵陈
功能主治	天行病
功能主治	经7日以上
功能主治	热势弥固
功能主治	大便涩秘
功能主治	心腹痞满
功能主治	食饮不下
功能主治	精神昏乱恍惚
功能主治	狂言浪语
功能主治	脉沉细
处方	鳖甲汤_21
中药名	鳖甲如手大
中药名	白头翁
中药名	干姜
中药名	黄柏长1尺广
剂量	3寸
功能主治	产后早起中风冷
功能主治	泄痢及带下
处方	鳖甲汤_22
处方	鳖甲汤_23
中药名	沉香
中药名	五味子
中药名	防风
剂量	1个
功能主治	妇人五劳七伤
功能主治	手足疼痛
功能主治	饮食无味
处方	鳖甲汤_24
中药名	苍术
功能主治	小儿无辜疳
功能主治	项细腹大
功能主治	发干作穗
处方	鳖甲汤_25
剂量	1钱2分
功能主治	癖块腹满寒热
处方	鳖甲汤_26
中药名	荆芥穗
功能主治	妇人血风劳气
处方	鳖甲汤_27
中药名	青蒿子
功能主治	妇人骨蒸劳气
功能主治	肌体羸瘦
功能主治	颊赤面黄
功能主治	五心烦热
功能主治	困倦心忪
功能主治	或多盗汗
功能主治	腹胁有块
处方	鳖甲汤_28
功能主治	妇人风虚劳冷
功能主治	头目昏眩
功能主治	肢体酸痛
功能主治	脐腹冷疼
功能主治	饮食不化
功能主治	经水不匀
处方	鳖甲汤_29
中药名	皮
剂量	五加1两半
中药名	庵
中药名	子
功能主治	妇人月候不调
功能主治	胸中烦躁
功能主治	腰胯痹痛
处方	鳖甲汤_30
中药名	大青
中药名	石膏
剂量	8两
中药名	牡丹皮
中药名	乌梅肉
中药名	竹叶
中药名	牛膝根
功能主治	天行21-28日
功能主治	劳痛未歇
功能主治	热毒不止
功能主治	乍寒乍热
功能主治	乍剧乍愈
功能主治	发动如疟
处方	鳖甲汤_31
中药名	白前
中药名	代赭
中药名	延胡索
剂量	20个
中药名	红蓝花
中药名	大腹皮
剂量	2两半
功能主治	妇人经候不通
功能主治	已经2-3月者
处方	鳖甲汤_32
功能主治	气劳
功能主治	或冷或热
功能主治	多睡少起
功能主治	四肢沉重
处方	鳖甲汤_33
功能主治	疟疾寒热
处方	鳖甲汤_34
中药名	瞿麦穗
功能主治	妇人月水不调
功能主治	或不通利
功能主治	发即刺痛
来源	普济方
来源	幼幼新书
来源	全生指迷方
来源	伤寒总病论
来源	胎产心法
来源	外台
来源	千金翼
来源	名家方选
来源	圣济总录
来源	千金
别名	鳖甲恒山汤
别名	鳖甲散
方名	鳖甲桃仁煎丸
处方	鳖甲桃仁煎丸
中药名	青橘皮
功能主治	诸积
来源	杂类名方
方名	鳖甲柴胡汤
处方	鳖甲柴胡汤
中药名	独活
中药名	酸枣仁
功能主治	风虚劳倦
功能主治	四肢拘急
功能主治	遍身疼痛
方名	鳖甲散
处方	鳖甲散_1
中药名	青蒿
功能主治	主骨蒸劳热
功能主治	肌瘦
功能主治	舌红
功能主治	颊赤
处方	鳖甲散_2
中药名	高良姜
功能主治	腹内痃癖积聚
功能主治	心胸刺痛
功能主治	面无颜色
处方	鳖甲散_3
