中药材	中药材
中药名	阿魏侧耳
来源	中华本草
四气	温
五味	辛
五味	苦
功能	杀虫
功能	消积
功能	行气
主治	食积
主治	胃痛
主治	虫积
中药名	阿尔泰扭藿香
功能	行气和中
功能	化湿消暑
主治	夏月感寒饮冷
主治	腹痛吐泻
中药名	艾麻草
来源	全国中草药汇编
别名	禾麻草
别名	铁秤铊
主治	风湿关节痛
主治	月经不调
主治	皮肤瘙痒
中药名	艾虎
别名	两头乌
别名	地狗
别名	艾鼬
别名	臭狗子
五味	甘
功能	活血通络
功能	祛风
功能	镇痉
主治	半身不遂
主治	癫痫
主治	瘫痪
中药名	艾纳香
来源	中药大辞典
别名	大毛药
别名	艾粉
别名	大骨风
别名	再风艾
别名	大风艾
别名	大艾
别名	紫再枫
别名	大枫草
别名	冰片叶
别名	土冰片
别名	山大艾
别名	大风叶
别名	牛耳艾
别名	真金草
别名	大黄草
别名	冰片艾
别名	叶下香
分布	广东
分布	贵州
分布	云南
分布	广西
功能	活血解毒
功能	温中活血
功能	温中止泻
功能	祛风除湿
主治	肿胀
主治	筋骨疼痛
主治	风寒感冒
主治	寒湿泻痢
主治	腹痛肠鸣
主治	风湿痹痛
主治	跌打损伤
主治	寸白虫病
主治	头风头痛
主治	毒蛇咬伤
主治	癣疮
主治	跌打伤痛
中药名	艾片
别名	结片
别名	艾脑香
四气	平
功能	杀虫疗癣
功能	辟瘟疫
主治	中暑霍乱
中药名	艾实
别名	艾子
功能	温肾壮阳
主治	明目
主治	肾虚腰酸
主治	阳虚内寒
中药名	艾叶
别名	黄草
别名	野莲头
别名	艾
别名	蕲艾
别名	家艾
别名	灸草
别名	狼尾蒿子
别名	阿及艾
别名	艾蓬
别名	甜艾
别名	医草
别名	艾蒿
别名	香艾
别名	草蓬
分布	辽宁
分布	湖南
分布	陕西
分布	甘肃
分布	浙江
分布	黑龙江
分布	江西
分布	湖北
分布	江苏
分布	河北
分布	四川
分布	安徽
分布	吉林
分布	山东
功能	止血
功能	安胎
功能	理气血
功能	逐寒湿
功能	温经止血
功能	散寒止痛
功能	祛湿止痒
功能	温经
主治	吃力血
主治	吐血
主治	崩漏
主治	痈疡
主治	湿疹
主治	便血
主治	痔疮
主治	疥癣
主治	衄血
主治	心腹冷痛
主治	带下
主治	妊娠下血
主治	痛经
主治	下血
主治	吐衄
主治	胎动不安
主治	霍乱转筋
主治	久痢
主治	泄泻转筋
主治	泄泻久痢
中药名	矮脚龙胆
别名	小龙胆草
四气	寒
功能	清热降火
主治	疔疮疖肿
主治	牙痛
主治	咽喉发炎
主治	疔疮炎症
主治	目赤肿痛
主治	咽喉肿痛
主治	瘀痛
中药名	矮杨梅皮
四气	凉
五味	酸
五味	涩
功能	通络止痛
功能	收敛止血
功能	涩肠止泻
主治	消化道出血
主治	泄泻
主治	风湿疼痛
主治	外伤出血
主治	水火烫伤
主治	黄水疮
主治	痢疾
主治	脱肛
中药名	矮杨梅
别名	杨梅
主治	直肠出血
主治	消化不良
主治	跌打劳伤
主治	腹泻
中药名	矮地茶
别名	叶底珠
别名	不出林
别名	平地木
别名	老勿大
主治	跌扑损伤
主治	慢性支气管炎
主治	湿热黄疸
主治	痰中带血
主治	咳嗽
中药名	矮叶书带蕨
功能	接骨止痛
功能	舒筋活络
主治	骨折
中药名	暗鳞鳞毛蕨
功能	驱虫
功能	凉血止血
主治	功能性子宫出血
主治	蛔虫病
中药名	昂天莲
别名	假芙蓉
别名	鬼棉花
别名	水麻
别名	仰天盅
功能	消肿
功能	通经活血
功能	消肿止痛
功能	行气散瘀
主治	疮疡疖肿
中药名	庵摩勒
别名	余甘子
别名	橄揽子
别名	余甘
别名	油甘子
别名	牛甘子
别名	庵摩落迦果
别名	鱼木果
别名	喉甘子
别名	滇橄榄
别名	望果
分布	福建
功能	化痰
功能	解毒
功能	生津
功能	止咳
主治	烦热口干
主治	白喉
主治	咳嗽咽痛
主治	感冒发热
功能	活血散瘀
主治	产后瘀滞腹痛
主治	妇女血瘀经闭
中药名	安龙香科科
别名	里苏子
功能	理气健胃
主治	脘腹胀满
中药名	埃蕾
分布	山西
分布	内蒙古
分布	新疆
功能	清热解毒
主治	肝炎
主治	扁桃体炎
主治	头痛发热
主治	头痛发烧
主治	胆囊炎
中药名	凹裂毛麝香
别名	山薄荷
别名	毛麝香
功能	散瘀止痛
中药名	凹瓦韦
别名	藏瓦韦
功能	清热利湿
中药名	鼻血雷
别名	万丈龙
别名	毕石牛
别名	南木香
别名	鼻血莲
别名	红白药
别名	金丝丸
别名	一吊血
别名	一点血
别名	天然草
别名	白朱砂莲
别名	鼻血连
别名	红叶青木香
别名	避蛇参
别名	九月生
分布	河南
功能	行气止痛
主治	肠炎痢疾
主治	风湿关节疼痛
主治	胃疼痛
中药名	鼻烟
主治	定头痛
主治	惊风
主治	辟疫
中药名	鳖头
别名	鳖首
五味	咸
功能	补气助阳
主治	阴疮
主治	久痢脱肛
主治	产后子宫下垂
中药名	鞭打绣球
别名	地胡椒
别名	连线草
别名	红豆草
别名	顶珠草
别名	头顶一颗珠
别名	四季青
别名	连钱草
别名	头顶一颗球
别名	地草果
别名	活血丹
别名	小铜锤
别名	一串钱
别名	滚山珠
别名	地红参
别名	四季草
别名	地红豆
别名	小红豆
别名	底线果
别名	金线草
别名	红顶珠
别名	区茹程丹
别名	月月换叶
五味	淡
功能	除湿祛风
功能	益气止痛
功能	活血止痛
功能	去瘀止血
主治	肺结核
主治	经闭
主治	咽痛
主治	咳嗽吐血
主治	神经衰弱
主治	风湿腰疼
主治	外用治湿疹
主治	疮肿湿毒
主治	风湿腰痛
主治	经闭腹痛
主治	齿龈肿痛
主治	瘰疬
主治	口腔炎
主治	破伤风
主治	疮疡
中药名	鞭叶铁线蕨
别名	尾铁线蕨
别名	黑鸡脚
别名	有尾铁线蕨
别名	过山龙
别名	岩虱子
别名	旱猪棕草
别名	两头根
别名	孔雀尾
别名	黑脚蕨
别名	大猪毛七
分布	西南
功能	利水消肿
功能	利湿消肿
主治	水肿
主治	乳腺炎
主治	乳痈
主治	口腔溃疡
主治	小便淋浊
主治	烧烫伤
中药名	霸王七
别名	万年炦
别名	炦七
别名	成年
别名	万年巴
功能	祛瘀消肿
主治	瘀肿疼痛
主治	痈肿疮毒
主治	腹痛
主治	跌打损伤及痈疮
中药名	闭鞘姜
别名	水蕉花
别名	山冬笋
别名	樟柳头
别名	白石笋
别名	象甘蔗
别名	广东商陆
主治	中耳炎
主治	小便不利
主治	外用治荨麻疹
主治	疮疖肿毒
主治	百日咳
主治	肾炎水肿
主治	尿路感染
主治	肝硬化腹水
中药名	遍山红
别名	大坛子根
别名	映山红
别名	秤杆树
别名	三叶藤
别名	秤杆菜
别名	小煨罐
别名	大叶朝天罐
别名	暴牙郎
别名	满山红
别名	酒瓶果
别名	野楷杷
功能	消肿解毒
主治	月经过多
主治	湿热泻痢
主治	跌打肿痛
主治	疮肿
主治	尿血
主治	产后红崩
中药名	遍地金
别名	小化血
别名	小黄花香
别名	蚁药
别名	小化药
别名	小疳药
别名	千锤散
别名	苍蝇草
别名	地耳草
别名	蚂蚁草
别名	对叶草
别名	毒蛇草
别名	肝炎草
别名	大田基黄
别名	青鱼胆
别名	雀舌草
别名	痧子草
别名	锅巴草
别名	田基黄
功能	止泻
主治	外用治黄水疮
主治	小儿消化不良
主治	小儿肺炎
主治	小儿白口疮
主治	乳痛
主治	腹泻久痢
中药名	边缘鳞盖蕨
功能	祛风活络
主治	痈疮疖肿
中药名	败酱草
别名	龙芽败酱
别名	黄花败酱
别名	黄花龙牙
主治	实热瘀滞所致的胸腹疼痛
主治	症
主治	肠痈
主治	肺痈及疮痈肿毒
中药名	蝙蝠藤
别名	小葛香
别名	狗葡萄秧
别名	小青藤
别名	金百脚
别名	山地瓜秧
别名	黄根藤
别名	杨柳子棵
别名	什子苗
别名	爬山秧子
别名	黄攸香
别名	防己藤
主治	腹泻痢疾
主治	痔疮肿痛
主治	腰痛
中药名	蝙蝠葛
别名	狗屎豆
别名	金丝钓葫芦
别名	金线吊蛤蟆
别名	野鸡豆子
别名	黄条香
别名	马串铃
别名	防己葛
别名	黄藤根
别名	光光喳
别名	蝙蝠藤
别名	黄根
别名	嘎马得见农棍
别名	宁巴
别名	大叶马兜铃
中药名	蝙蝠
别名	夜燕
别名	盐老鼠
别名	伏翼
别名	服翼
别名	仙鼠
别名	蟙蟔
别名	天鼠
别名	飞鼠
别名	老鼠
分布	东北
功能	平肝明目
功能	止咳平喘
功能	利水通淋
主治	目翳
主治	久咳
主治	金疮
主治	喘息
主治	疟疾
主治	淋证
主治	淋病
主治	带下目昏
中药名	蚌壳草根
别名	大铁扫把
别名	咳嗽草
功能	退热除湿
功能	消疳
功能	除湿通络
功能	健脾消疳
功能	清热化痰
主治	感冒
主治	小儿疳积
主治	哮喘
主治	风湿性关节炎
主治	肺热咳咳嗽
主治	黄疸
主治	高热不退
中药名	蚌兰花
别名	菱角花
别名	州部队
别名	蚌兰衣
别名	紫万年青花
别名	荷包兰
别名	蚌花
别名	红蚌兰花
功能	解毒止痢
功能	清肺化痰
主治	肺热咳喘
主治	血痢
主治	鼻衄
主治	咯血
中药名	蚌兰叶
别名	紫万年青叶
别名	红蚌兰叶
别名	蚌花叶
功能	清热
功能	去瘀
功能	化瘀止血
主治	泻痢
主治	疮疖
主治	肺热咳嗽
主治	肺热燥咳
中药名	藨草
别名	光棍子
别名	光棍草
别名	野荸荠
别名	野荸蔼
功能	开胃消食
功能	开胃
主治	食积气滞
主治	呃逆饱胀
主治	热淋
主治	胃纳不佳
主治	饮食积滞
中药名	薜荔根
